epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02742,0.33962,2.90733,0.88437,0.00333,1,0.995,0.995,0.21352,2.94154,0.94707,0,0,0
2,4.56664,0.73028,3.73548,1.87645,0.00333,1,0.995,0.995,0.212,2.94091,0.94459,1.802e-05,1.802e-05,1.802e-05
3,6.69263,0.87921,2.85659,1.37116,0.00333,1,0.995,0.995,0.19035,2.93604,0.94864,3.208e-05,3.208e-05,3.208e-05
4,8.27701,0.34467,3.08259,1.06514,0.00333,1,0.995,0.995,0.18247,2.94185,0.94048,4.218e-05,4.218e-05,4.218e-05
5,9.82417,0.23434,2.90411,0.80401,0.00333,1,0.995,0.995,0.17023,2.93986,0.92425,4.832e-05,4.832e-05,4.832e-05
6,11.323,0.93567,3.14242,1.48696,0.00333,1,0.995,0.995,0.17225,2.93847,0.91752,5.05e-05,5.05e-05,5.05e-05
7,13.3998,0.45608,2.96773,0.90995,0.00333,1,0.995,0.995,0.16648,2.939,0.94981,4.872e-05,4.872e-05,4.872e-05
8,15.7007,0.28457,2.70801,0.82831,0.00333,1,0.995,0.995,0.16769,2.94905,0.9136,4.298e-05,4.298e-05,4.298e-05
9,17.357,0.3565,2.4349,0.78609,0.00333,1,0.995,0.995,0.17035,2.93582,0.9148,3.328e-05,3.328e-05,3.328e-05
10,19.0061,0.26347,2.32621,0.70651,0.00333,1,0.995,0.995,0.16244,2.92925,0.91767,1.962e-05,1.962e-05,1.962e-05
