epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7571,0.64239,3.40152,1.15005,0.01353,1,0.65357,0.4716,0.29068,3.92186,0.91606,3.333e-05,3.333e-05,3.333e-05
2,84.3304,0.4861,3.28933,1.02832,0.01496,1,0.67694,0.62219,0.21933,3.89622,0.82422,7.62302e-05,7.62302e-05,7.62302e-05
3,121.724,0.41601,3.07367,1.00468,0.01157,1,0.7125,0.65326,0.21583,3.86492,0.80156,0.00011737,0.00011737,0.00011737
4,163.066,0.43347,2.7201,0.9773,0.01098,1,0.70417,0.65484,0.20982,3.7751,0.83222,0.000156751,0.000156751,0.000156751
5,203.537,0.38092,2.37339,0.94079,0.01125,1,0.71012,0.68049,0.2479,3.84298,0.80804,0.000194372,0.000194372,0.000194372
6,239.967,0.39384,2.20591,0.93781,0.01119,1,0.69028,0.62949,0.27628,3.82254,0.83228,0.000230233,0.000230233,0.000230233
7,279.859,0.43317,2.19913,0.96954,0.01208,1,0.70139,0.62179,0.3487,3.76363,0.90361,0.000264334,0.000264334,0.000264334
8,322.013,0.45731,2.11196,0.98194,0.0199,1,0.64667,0.56126,0.34643,3.6657,0.96178,0.000296675,0.000296675,0.000296675
9,362.23,0.43488,2.04632,0.99545,0.0248,1,0.51706,0.44956,0.39673,3.67925,1.01373,0.000327256,0.000327256,0.000327256
10,398.609,0.42556,1.93287,0.97945,0.02099,1,0.63556,0.54579,0.42013,3.50525,1.02183,0.000356078,0.000356078,0.000356078
11,434.872,0.40601,1.71043,0.92748,0.02004,1,0.64667,0.52154,0.43382,3.54947,1.05878,0.000383139,0.000383139,0.000383139
12,469.645,0.46342,1.70657,1.01211,0.75253,0.33333,0.71806,0.66,0.34883,3.49738,0.94361,0.000408441,0.000408441,0.000408441
13,505.083,0.4047,1.50419,0.96192,0.71316,0.5,0.54667,0.50363,0.37511,3.30666,0.98308,0.000431983,0.000431983,0.000431983
14,538.591,0.38026,1.53228,0.92587,0.70077,0.5,0.61806,0.58826,0.41876,3.27433,1.01632,0.000453766,0.000453766,0.000453766
15,574.907,0.42783,1.41889,0.96846,0.44564,0.67583,0.48901,0.46078,0.41178,3.39431,1.02926,0.000473788,0.000473788,0.000473788
16,607.132,0.39186,1.36948,0.92561,0.40009,0.53832,0.44433,0.41974,0.42836,3.36847,1.06988,0.000492051,0.000492051,0.000492051
17,638.797,0.39145,1.17887,0.93031,0.3991,0.55699,0.48404,0.4479,0.45395,3.32128,1.0737,0.000508554,0.000508554,0.000508554
18,673.002,0.40956,1.2178,0.96422,0.62716,0.5,0.63671,0.55283,0.46723,3.3054,1.05234,0.000523297,0.000523297,0.000523297
19,707.107,0.40293,1.15517,0.94364,0.7071,0.5,0.67917,0.58623,0.3981,3.30414,0.98193,0.00053628,0.00053628,0.00053628
20,747.618,0.4645,1.22693,0.95698,0.70132,0.5,0.67176,0.60715,0.42471,3.27309,1.08513,0.000547503,0.000547503,0.000547503
21,784.862,0.39646,1.14498,0.95559,0.8115,0.33333,0.59713,0.5194,0.42659,3.30567,1.0815,0.000556967,0.000556967,0.000556967
22,821.6,0.42321,1.20724,0.94086,0.73942,0.33333,0.51056,0.46498,0.32975,3.35041,0.92634,0.00056467,0.00056467,0.00056467
23,857.43,0.40959,1.13584,0.94945,0.73756,0.33333,0.54429,0.51824,0.30138,3.43688,0.86403,0.000570614,0.000570614,0.000570614
24,894.51,0.41904,1.18096,0.95728,0.73635,0.33333,0.45528,0.4387,0.27986,3.56926,0.83715,0.000574798,0.000574798,0.000574798
25,929.896,0.38936,1.09425,0.92884,0.91305,0.33333,0.72731,0.68307,0.28391,3.49353,0.83481,0.000577222,0.000577222,0.000577222
26,964.666,0.38315,1.13229,0.92285,0.8291,0.33333,0.68606,0.63584,0.35575,3.41266,0.88782,0.000561055,0.000561055,0.000561055
27,1000.42,0.37225,1.00922,0.91935,0.77755,0.33333,0.71833,0.65861,0.36206,3.52135,0.91067,0.000539057,0.000539057,0.000539057
28,1036.87,0.37714,1.13516,0.92732,0.77749,0.33333,0.50893,0.47789,0.29984,3.48113,0.88304,0.000517059,0.000517059,0.000517059
29,1071.13,0.40009,1.04071,0.93771,0.80774,0.33333,0.48171,0.4513,0.292,3.52502,0.8707,0.000495062,0.000495062,0.000495062
30,1105.45,0.34517,1.01685,0.92492,0.76632,0.33333,0.35448,0.33186,0.29783,3.56705,0.86432,0.000473064,0.000473064,0.000473064
31,1140.63,0.35284,0.96344,0.89237,0.74809,0.33333,0.30185,0.26759,0.30707,3.67878,0.86643,0.000451066,0.000451066,0.000451066
32,1177.95,0.38968,0.99972,0.93278,0.7478,0.33333,0.3403,0.31715,0.30777,3.8313,0.87227,0.000429068,0.000429068,0.000429068
33,1217.14,0.37086,0.95491,0.92522,0.77261,0.33333,0.35411,0.33165,0.34252,4.09126,0.92274,0.00040707,0.00040707,0.00040707
34,1255.43,0.35551,1.00397,0.94568,0.77155,0.33333,0.34786,0.31914,0.35769,4.41973,0.95186,0.000385073,0.000385073,0.000385073
35,1293.03,0.34568,0.91154,0.91183,0.74617,0.33333,0.24431,0.22695,0.35484,4.48519,0.95174,0.000363075,0.000363075,0.000363075
36,1331.93,0.33317,0.90286,0.91954,0.74537,0.33333,0.2106,0.19825,0.34671,4.35612,0.93288,0.000341077,0.000341077,0.000341077
37,1368.73,0.31025,0.86077,0.92417,0.74692,0.33333,0.18227,0.17129,0.34441,4.21862,0.91858,0.000319079,0.000319079,0.000319079
